,frequencies,Real_mu,Im_mu,permeability,amplitudes,phases
1,2751.6779581498927,386.80523787421885,-407371.95981892175,324176451369.3823,1.5921451497806267,0.010501108660347026
23,3127.5533503613915,375.97961625794153,-352879.6815329159,280812887400.7474,1.8639973740849494,0.009909476586037238
32,3731.2223580172813,320.78153693296514,-292917.4996436136,233096479581.36707,2.0322205014739136,0.009251576392911189
8,4048.2545499918283,296.28592397719814,-269029.22972798994,214086788452.77847,2.0925608128316826,0.009003813469804696
18,4542.840942470112,294.15297820771457,-235734.27796862295,187591523916.41055,2.378382454644336,0.008825607391706122
7,4924.672350121743,272.53429080419573,-214897.40407311858,171010058007.8318,2.5763596575969365,0.008183078722282766
21,5362.095123415428,251.07985434353918,-194326.2579406581,154640051612.84378,2.832445930886151,0.00746635553052636
15,5725.560757580625,244.3600857642925,-179522.21089903533,142859368562.46713,3.0544082736658895,0.007195232529253067
27,5902.740909858506,242.93563483003825,-173161.54390983892,137797713868.1149,3.1445358418362472,0.0071632809825633754
30,6122.000464901426,237.11618698732957,-165612.25831426348,131790182744.51514,3.274115946759828,0.006964402997217708
16,6924.4990957925265,235.63808542526306,-141312.94395095936,112453424041.65149,3.8295082986655147,0.006692894094041705
6,7529.3407324794625,223.72233175891446,-125934.77479891389,100215867664.25136,4.305698953483064,0.006145330402179576
14,8176.510965320506,216.695702880484,-112113.52979086727,89217278868.76187,4.800629922258425,0.0057975219973693285
3,8802.422273197975,217.71448915766018,-99542.17699327538,79213336994.1151,5.436573090505356,0.005537151382627176
10,9424.775460209577,221.2915066787148,-88022.67725268895,70046442264.17488,6.168855400276777,0.005310716108667935
0,10036.746902437397,217.0942046823013,-78420.41696716734,62405224090.19131,6.836569622826842,0.00500638971131913
11,10676.874322444124,214.00373237849752,-69409.95259444989,55234947776.5111,7.559206722670393,0.004748000601478951
33,11320.18612859457,214.6053422748838,-60762.724856572524,48353741637.004425,8.395437150364371,0.004545400490638972
24,11943.394092362034,213.7334865419975,-53510.05422386229,42582287829.611534,9.161259340082017,0.004376897936263344
19,12561.192306845747,205.91863598058717,-47724.65302572194,37978425675.2939,9.783497405584642,0.004152919460928398
29,13198.092396442038,201.25284302610916,-42181.45527497575,33567317600.796967,10.455228493651305,0.003990622896723563
20,13827.791697588484,195.8351067759003,-37247.85350190653,29641309678.484703,11.109607620286447,0.0038288256951226917
26,14445.39788480228,190.8752863256057,-32664.80197165768,25994267268.64257,11.788181882303677,0.0036741191522032778
25,15077.178551625457,186.1369004345796,-29126.60682096308,23178690536.382812,12.30197322424374,0.003583427192995099
37,15386.988274903293,181.00885275278688,-27818.637182334736,22137836694.578552,12.476360871954418,0.0035066003994538883
31,15708.835964569002,176.03658037047768,-26440.42595050715,21041088755.263554,12.675798362158389,0.003426828209783748
22,16342.8732635879,170.67189813252674,-23445.29604056033,18657668111.911407,13.181354601376487,0.0033239238438860894
34,16963.498858523577,167.5357360693339,-20542.134311093494,16347454731.044289,13.726374049730895,0.003252278329884837
9,17593.595587505195,162.0328224696461,-17855.102770884874,14209224371.764982,14.265642052982033,0.0031389678657309985
38,18223.848015202224,156.24136170311823,-15727.35294621056,12516047378.364777,14.697963302507167,0.003042982739328276
2,18854.075638765433,150.17667674738445,-13353.106892186777,10626736831.517876,15.245420386510544,0.002917351936177482
39,19474.311530139934,146.82136937436638,-11063.046802392193,8804468171.912905,15.815858168297181,0.00283974329455101
35,20106.80988567704,141.65058164585133,-9206.312453426342,7327017801.546577,16.292367031172688,0.0027459825405812964
12,20731.776043213093,138.21711943596625,-7487.401023559334,5959299531.936445,16.76175851608392,0.002685339288906676
4,21364.58861998306,135.10679544769488,-5773.922848140468,4595999529.48918,17.262364680303783,0.002626587163533723
17,21995.731988746957,129.4243050874909,-4452.5488299081035,3544722326.9319487,17.66166469881578,0.002531879117602398
5,22620.18296127521,126.26642522111047,-3063.0751010733425,2439587827.874403,18.111692901626217,0.0024771098951463827
13,23247.41452620377,122.00783017922299,-1885.3906439710856,1503484399.6960917,18.511566393486422,0.0024067971621277435
28,23877.448278634758,119.74357907465098,-603.8951761595405,489920633.1306953,18.973552557867052,0.0023670736777220737
43,24504.725975959227,116.67665270264486,610.274333794329,494436932.95248926,19.434958282453735,0.002310843119485662
48,25131.743139170085,114.25020331757051,1657.7277890723933,1322307150.899767,19.854469938339086,0.0022716506724072016
42,25761.186186091374,111.25321803714883,2734.659491144349,2177973001.416626,20.306645635964585,0.002216973394491587
47,26390.322718142877,107.3068152097186,3721.154470955598,2962431606.7804604,20.74260844813235,0.0021445138102918235
44,27017.00100778374,104.75875505645939,4675.1705235210175,3721316366.24325,21.18410514645232,0.0020986380385768742
49,27645.218459490272,103.02491606692391,5512.809874134772,4387720715.367091,21.593984453558328,0.0020718089229139302
46,28273.992503063604,100.3658647886948,6332.478429963307,5039859112.353645,22.012468740953324,0.0020249979660010263
50,28903.604761915863,99.52732693276558,7256.203380192836,5774846320.998451,22.49448335034066,0.0020088083112296856
45,29530.26709212577,96.28397571221373,7919.561758595766,6302652749.551029,22.87361430051239,0.0019525706154232272
36,30158.60400336066,95.01480435196683,8762.148090454275,6973105838.797658,23.350937936344536,0.001927606268377117
40,30787.486703329436,91.41667327139136,9300.896681034272,7401775905.518912,23.69803588846846,0.0018655522901544752
41,31416.731949862133,91.1960393004992,9921.564930138959,7895664025.556765,24.09626359707179,0.0018677012437654636
52,32044.065113699016,87.02689162313047,10764.040344438637,8566031090.333269,24.618086366582144,0.0017793725763294084
